State,Model,MAPE(%)
Vermont,SARIMA,0.38
Kansas,XGBoost,0.9
Washington,SARIMA,0.97
Wisconsin,XGBoost,1.09
Minnesota,XGBoost,1.25
Arizona,XGBoost,1.64
Wyoming,SARIMA,1.69
Connecticut,XGBoost,1.72
Maryland,XGBoost,1.75
Michigan,XGBoost,1.79
Pennsylvania,XGBoost,1.85
Oregon,SARIMA,1.86
New York,XGBoost,1.91
Utah,SARIMA,2.02
Iowa,SARIMA,2.05
Rhode Island,XGBoost,2.06
Nebraska,XGBoost,2.06
Massachusetts,LSTM,2.06
West Virginia,SARIMA,2.25
North Carolina,LSTM,2.28
Oklahoma,LSTM,2.34
California,LSTM,2.41
Nevada,SARIMA,2.44
Tennessee,SARIMA,2.44
Missouri,XGBoost,2.47
Indiana,SARIMA,2.55
New Hampshire,XGBoost,2.57
Mississippi,XGBoost,2.61
Florida,LSTM,2.61
Virginia,LSTM,2.63
Kentucky,LSTM,2.7
Georgia,LSTM,2.74
South Carolina,LSTM,2.74
Arkansas,LSTM,2.87
Ohio,LSTM,2.9
Maine,LSTM,2.93
South Dakota,LSTM,3.0
Illinois,SARIMA,3.06
Texas,LSTM,3.14
Alabama,SARIMA,3.16
Colorado,SARIMA,3.17
Louisiana,LSTM,3.31
New Mexico,LSTM,3.8
