State,MAE,RMSE,MAPE(%)
Alabama,6756560.5,9079314.12,3.42
Arizona,5634507.0,8309133.78,2.67
Arkansas,3027882.0,4120003.65,2.87
California,20013040.0,27508544.49,2.41
Colorado,5463634.0,7244803.69,3.17
Connecticut,2476758.25,3567365.58,2.91
Florida,19128712.0,26989891.38,2.61
Georgia,10204690.0,13056780.47,2.74
Illinois,9342513.0,13136569.34,3.08
Indiana,8114238.0,9588607.84,3.74
Iowa,2480347.5,3327589.59,2.2
Kansas,3500977.0,3909722.79,3.86
Kentucky,4515089.5,6010673.45,2.7
Louisiana,5724557.0,7584430.88,3.31
Maine,1345575.62,1674783.62,2.93
Maryland,3233327.25,6097827.06,2.07
Massachusetts,3627546.0,6989860.3,2.06
Michigan,7312299.0,11051513.16,2.63
Minnesota,3671186.5,4876496.37,2.37
Mississippi,3507150.25,4775687.9,2.95
Missouri,7199869.5,8344662.39,3.69
Nebraska,1390559.62,2020295.49,2.35
Nevada,3189018.75,4161746.51,3.25
New Hampshire,2117238.5,2517623.48,3.91
New Mexico,2699152.25,3132511.07,3.8
New York,14675205.0,18829697.36,3.49
North Carolina,8068907.0,10301838.6,2.28
Ohio,10414369.0,13651231.86,2.9
Oklahoma,3292578.0,4508887.47,2.34
Oregon,4103308.5,5132096.56,3.65
Pennsylvania,9294314.0,12380504.04,2.65
Rhode Island,648480.94,972607.78,2.54
South Carolina,5249855.5,6555221.56,2.74
South Dakota,860074.75,1098239.94,3.0
Tennessee,6564998.5,8787727.21,2.6
Texas,28293616.0,35663679.83,3.14
Utah,2464155.0,3371212.2,3.04
Vermont,430106.22,542290.85,2.41
Virginia,7563160.0,9828320.21,2.63
Washington,4363019.0,6567404.66,2.44
West Virginia,2399838.0,2925834.11,3.29
Wisconsin,3789667.25,5391739.15,2.5
Wyoming,740864.75,907483.46,3.48
