State,Date,Total,Category
Alabama,2019-01-12,109574036.0,Beverages
Alabama,2019-03-11,112189103.8,Beverages
Alabama,2019-06-10,129106730.4,Beverages
Alabama,2019-08-12,108083723.8,Beverages
Alabama,2019-10-11,110932912.8,Beverages
Alabama,2019-10-13,123782285.8,Beverages
Alabama,2019-10-20,116218908.89999999,Beverages
Alabama,2019-10-27,109968010.6,Beverages
Alabama,2019-11-17,109056410.0,Beverages
Alabama,2019-11-24,113040422.1,Beverages
Alabama,2019-12-15,108528456.4,Beverages
Alabama,2019-12-22,116541575.0,Beverages
Alabama,2019-12-29,106949922.2,Beverages
Alabama,2020-01-03,116651493.0,Beverages
Alabama,2020-01-11,120522113.9,Beverages
Alabama,2020-01-19,105904865.60000001,Beverages
Alabama,2020-01-26,106265736.60000001,Beverages
Alabama,2020-02-02,108358279.6,Beverages
Alabama,2020-02-08,131945461.10000001,Beverages
Alabama,2020-02-16,107397612.3,Beverages
Alabama,2020-02-23,107801054.30000001,Beverages
Alabama,2020-03-05,128066130.89999999,Beverages
Alabama,2020-03-15,132632134.0,Beverages
Alabama,2020-03-22,127145065.2,Beverages
Alabama,2020-03-29,116657084.0,Beverages
Alabama,2020-04-10,133713630.0,Beverages
Alabama,2020-04-19,117742073.2,Beverages
Alabama,2020-04-26,118114595.0,Beverages
Alabama,2020-05-01,104239954.19999999,Beverages
Alabama,2020-05-04,123259529.2,Beverages
Alabama,2020-05-07,138414683.20000002,Beverages
Alabama,2020-05-17,130340051.0,Beverages
Alabama,2020-05-24,134708618.7,Beverages
Alabama,2020-05-31,129887876.9,Beverages
Alabama,2020-06-09,137905687.0,Beverages
Alabama,2020-06-12,116104621.0,Beverages
Alabama,2020-06-14,131401892.69999999,Beverages
Alabama,2020-06-21,133712552.30000001,Beverages
Alabama,2020-06-28,132320128.4,Beverages
Alabama,2020-07-06,132304540.80000001,Beverages
Alabama,2020-07-19,133548791.3,Beverages
Alabama,2020-07-26,132657648.5,Beverages
Alabama,2020-08-03,119441834.4,Beverages
Alabama,2020-08-11,120902500.10000001,Beverages
Alabama,2020-08-16,137880677.4,Beverages
Alabama,2020-08-23,131642694.8,Beverages
Alabama,2020-08-30,128713002.0,Beverages
Alabama,2020-09-02,109022481.6,Beverages
Alabama,2020-09-08,137744835.29999998,Beverages
Alabama,2020-09-13,134469487.7,Beverages
Alabama,2020-09-20,129079259.8,Beverages
Alabama,2020-09-27,127614100.1,Beverages
Alabama,2020-10-05,127906087.0,Beverages
Alabama,2020-10-18,122464549.6,Beverages
Alabama,2020-10-25,121301024.5,Beverages
Alabama,2020-11-10,128170885.8,Beverages
Alabama,2020-11-15,117987142.39999999,Beverages
Alabama,2020-11-22,124645965.39999999,Beverages
Alabama,2020-11-29,118491656.0,Beverages
Alabama,2020-12-01,108717628.39999999,Beverages
Alabama,2020-12-04,117506178.89999999,Beverages
Alabama,2020-12-07,129799792.9,Beverages
Alabama,2020-12-13,116502691.2,Beverages
Alabama,2020-12-20,122244235.89999999,Beverages
Alabama,2020-12-27,115522663.3,Beverages
Alabama,2021-01-08,146096097.7,Beverages
Alabama,2021-01-17,115816663.9,Beverages
Alabama,2021-01-24,113870547.8,Beverages
Alabama,2021-01-31,115802737.5,Beverages
Alabama,2021-02-05,134697460.0,Beverages
Alabama,2021-02-14,115644582.39999999,Beverages
Alabama,2021-02-21,112186374.5,Beverages
Alabama,2021-02-28,124158003.39999999,Beverages
Alabama,2021-03-01,115331048.0,Beverages
Alabama,2021-03-10,203436377.5,Beverages
Alabama,2021-03-14,143739697.79999998,Beverages
Alabama,2021-03-21,138119750.0,Beverages
Alabama,2021-03-28,124801755.5,Beverages
Alabama,2021-04-04,131843894.8,Beverages
Alabama,2021-04-07,150209238.5,Beverages
Alabama,2021-04-18,126192681.60000001,Beverages
Alabama,2021-04-25,127348327.7,Beverages
Alabama,2021-05-09,148892733.6,Beverages
Alabama,2021-05-12,180600247.5,Beverages
Alabama,2021-05-16,135462841.6,Beverages
Alabama,2021-05-23,140446890.20000002,Beverages
Alabama,2021-05-30,139935910.6,Beverages
Alabama,2021-06-06,140893518.3,Beverages
Alabama,2021-06-13,137083191.8,Beverages
Alabama,2021-06-20,144489981.4,Beverages
Alabama,2021-06-27,140720825.5,Beverages
Alabama,2021-07-02,117468184.1,Beverages
Alabama,2021-07-03,126283022.9,Beverages
Alabama,2021-07-11,184678476.5,Beverages
Alabama,2021-07-18,143840884.1,Beverages
Alabama,2021-07-25,143718288.10000002,Beverages
Alabama,2021-08-08,151796622.6,Beverages
Alabama,2021-08-15,149096387.5,Beverages
Alabama,2021-08-22,142623393.4,Beverages
Alabama,2021-08-29,140962322.6,Beverages
Alabama,2021-09-05,136554063.70000002,Beverages
Alabama,2021-09-19,133797917.0,Beverages
Alabama,2021-09-26,133378009.3,Beverages
Alabama,2021-10-01,117780959.3,Beverages
Alabama,2021-10-10,198855812.3,Beverages
Alabama,2021-10-17,195850754.5,Beverages
Alabama,2021-10-24,189687421.9,Beverages
Alabama,2021-10-31,189048084.9,Beverages
Alabama,2021-11-04,126097508.5,Beverages
Alabama,2021-11-07,137692246.7,Beverages
Alabama,2021-11-14,184911321.39999998,Beverages
Alabama,2021-11-21,190608740.7,Beverages
Alabama,2021-11-28,177133617.3,Beverages
Alabama,2021-12-09,142022732.5,Beverages
Alabama,2021-12-12,182041354.4,Beverages
Alabama,2021-12-19,189045386.7,Beverages
Alabama,2021-12-26,183210806.39999998,Beverages
Alabama,2022-01-05,207976102.9,Beverages
Alabama,2022-01-16,180918293.4,Beverages
Alabama,2022-01-23,177754218.7,Beverages
Alabama,2022-01-30,179630072.6,Beverages
Alabama,2022-02-01,179002838.5,Beverages
Alabama,2022-02-10,218622107.1,Beverages
Alabama,2022-02-13,181195482.0,Beverages
Alabama,2022-02-20,178404182.10000002,Beverages
Alabama,2022-02-27,192108734.99999997,Beverages
Alabama,2022-03-04,200427369.5,Beverages
Alabama,2022-03-07,226966250.7,Beverages
Alabama,2022-03-13,194057783.89999998,Beverages
Alabama,2022-03-20,194303302.9,Beverages
Alabama,2022-03-27,195635388.89999998,Beverages
Alabama,2022-04-09,227759611.10000002,Beverages
Alabama,2022-04-12,191867741.4,Beverages
Alabama,2022-04-17,199965774.7,Beverages
Alabama,2022-04-24,197876829.3,Beverages
Alabama,2022-05-06,209711181.6,Beverages
Alabama,2022-05-15,208193476.8,Beverages
Alabama,2022-05-22,219547509.4,Beverages
Alabama,2022-05-29,212449962.2,Beverages
Alabama,2022-06-02,184970125.1,Beverages
Alabama,2022-06-03,197917627.70000002,Beverages
Alabama,2022-06-11,197814663.39999998,Beverages
Alabama,2022-06-19,220358695.29999998,Beverages
Alabama,2022-06-26,220100178.99999997,Beverages
Alabama,2022-07-08,226809534.5,Beverages
Alabama,2022-07-17,212769922.8,Beverages
Alabama,2022-07-24,215436685.6,Beverages
Alabama,2022-07-31,221654891.4,Beverages
Alabama,2022-08-05,207537233.1,Beverages
Alabama,2022-08-14,224323609.89999998,Beverages
Alabama,2022-08-21,215153556.3,Beverages
Alabama,2022-08-28,215670829.20000002,Beverages
Alabama,2022-09-01,178676923.60000002,Beverages
Alabama,2022-09-10,211016006.4,Beverages
Alabama,2022-09-18,213270227.9,Beverages
Alabama,2022-09-25,215556915.6,Beverages
Alabama,2022-10-04,202888791.1,Beverages
Alabama,2022-10-07,212433149.4,Beverages
Alabama,2022-10-16,204418180.9,Beverages
Alabama,2022-10-23,198480434.59999996,Beverages
Alabama,2022-10-30,194245501.60000002,Beverages
Alabama,2022-11-09,215165394.79999998,Beverages
Alabama,2022-11-12,194239368.7,Beverages
Alabama,2022-11-13,194267617.20000002,Beverages
Alabama,2022-11-20,197053090.0,Beverages
Alabama,2022-11-27,192420636.6,Beverages
Alabama,2022-12-06,209838487.5,Beverages
Alabama,2022-12-18,200415284.1,Beverages
Alabama,2022-12-25,200741723.89999998,Beverages
Alabama,2023-01-01,184497797.3,Beverages
Alabama,2023-01-15,185544784.3,Beverages
Alabama,2023-01-22,182246124.7,Beverages
Alabama,2023-01-29,183105937.6,Beverages
Alabama,2023-02-04,205535418.60000002,Beverages
Alabama,2023-02-19,191443698.2,Beverages
Alabama,2023-02-26,199003415.99999997,Beverages
Alabama,2023-03-19,210866566.7,Beverages
Alabama,2023-03-26,202214026.20000002,Beverages
Alabama,2023-04-16,203132040.5,Beverages
Alabama,2023-04-23,206852538.60000002,Beverages
Alabama,2023-04-30,211451722.70000002,Beverages
Alabama,2023-05-02,192305583.9,Beverages
Alabama,2023-05-03,209478342.50000003,Beverages
Alabama,2023-07-05,219573277.3,Beverages
Alabama,2023-08-01,186490147.6,Beverages
Alabama,2023-09-04,202345731.9,Beverages
Alabama,2023-12-02,191999971.10000002,Beverages
Alabama,2023-12-03,218905535.8,Beverages
Arizona,2019-01-12,109101594.60000001,Beverages
Arizona,2019-03-11,115424158.7,Beverages
Arizona,2019-06-10,119877789.3,Beverages
Arizona,2019-08-12,110405117.1,Beverages
Arizona,2019-10-11,120785283.0,Beverages
Arizona,2019-10-13,117122711.6,Beverages
Arizona,2019-10-20,116127753.8,Beverages
Arizona,2019-10-27,115216831.39999999,Beverages
Arizona,2019-11-17,116490977.0,Beverages
Arizona,2019-11-24,114640798.30000001,Beverages
Arizona,2019-12-15,110395320.6,Beverages
Arizona,2019-12-22,117291973.5,Beverages
Arizona,2019-12-29,108536780.4,Beverages
Arizona,2020-01-03,118349205.6,Beverages
Arizona,2020-01-11,123994824.2,Beverages
Arizona,2020-01-19,110294021.9,Beverages
Arizona,2020-01-26,109185129.2,Beverages
Arizona,2020-02-02,115328264.30000001,Beverages
Arizona,2020-02-08,135907143.5,Beverages
Arizona,2020-02-16,110562941.7,Beverages
Arizona,2020-02-23,110993229.1,Beverages
Arizona,2020-03-05,134864796.6,Beverages
Arizona,2020-03-15,139557887.4,Beverages
Arizona,2020-03-22,135979843.39999998,Beverages
Arizona,2020-03-29,119847336.0,Beverages
Arizona,2020-04-10,132505937.30000001,Beverages
Arizona,2020-04-19,125902822.2,Beverages
Arizona,2020-04-26,127294783.0,Beverages
Arizona,2020-05-01,109641290.89999999,Beverages
Arizona,2020-05-04,125962618.3,Beverages
Arizona,2020-05-07,144153474.9,Beverages
Arizona,2020-05-17,130942704.6,Beverages
Arizona,2020-05-24,131535234.89999999,Beverages
Arizona,2020-05-31,131413795.10000001,Beverages
Arizona,2020-06-09,140717020.60000002,Beverages
Arizona,2020-06-12,118392564.30000001,Beverages
Arizona,2020-06-14,139014230.70000002,Beverages
Arizona,2020-06-21,134529099.4,Beverages
