State,total_points,total_sequences,train_sequences,val_sequences
Alabama,256,244,195,49
Arizona,256,244,195,49
Arkansas,256,244,195,49
California,256,244,195,49
Colorado,256,244,195,49
Connecticut,256,244,195,49
Florida,256,244,195,49
Georgia,256,244,195,49
Illinois,256,244,195,49
Indiana,256,244,195,49
Iowa,256,244,195,49
Kansas,256,244,195,49
Kentucky,256,244,195,49
Louisiana,256,244,195,49
Maine,256,244,195,49
Maryland,256,244,195,49
Massachusetts,256,244,195,49
Michigan,256,244,195,49
Minnesota,256,244,195,49
Mississippi,256,244,195,49
Missouri,256,244,195,49
Nebraska,256,244,195,49
Nevada,256,244,195,49
New Hampshire,256,244,195,49
New Mexico,256,244,195,49
New York,256,244,195,49
North Carolina,256,244,195,49
Ohio,256,244,195,49
Oklahoma,256,244,195,49
Oregon,256,244,195,49
Pennsylvania,256,244,195,49
Rhode Island,256,244,195,49
South Carolina,256,244,195,49
South Dakota,256,244,195,49
Tennessee,256,244,195,49
Texas,256,244,195,49
Utah,256,244,195,49
Vermont,256,244,195,49
Virginia,256,244,195,49
Washington,256,244,195,49
West Virginia,256,244,195,49
Wisconsin,256,244,195,49
Wyoming,256,244,195,49
