Date,State,Total,Year,Month,WeekOfYear,DayOfWeek,IsHoliday,Lag_1,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2019-01-13,Alabama,123782285.8,2019,1,2,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-01-20,Alabama,123782285.8,2019,1,3,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-01-27,Alabama,123782285.8,2019,1,4,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-02-03,Alabama,123782285.8,2019,2,5,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-02-10,Alabama,123782285.8,2019,2,6,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-02-17,Alabama,123782285.8,2019,2,7,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-02-24,Alabama,123782285.8,2019,2,8,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-03-03,Alabama,123782285.8,2019,3,9,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-03-10,Alabama,123782285.8,2019,3,10,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-03-17,Alabama,123782285.8,2019,3,11,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-03-24,Alabama,123782285.8,2019,3,12,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-03-31,Alabama,123782285.8,2019,3,13,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-04-07,Alabama,123782285.8,2019,4,14,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-04-14,Alabama,123782285.8,2019,4,15,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-04-21,Alabama,123782285.8,2019,4,16,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-04-28,Alabama,123782285.8,2019,4,17,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-05-05,Alabama,123782285.8,2019,5,18,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-05-12,Alabama,123782285.8,2019,5,19,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-05-19,Alabama,123782285.8,2019,5,20,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-05-26,Alabama,123782285.8,2019,5,21,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-06-02,Alabama,123782285.8,2019,6,22,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-06-09,Alabama,123782285.8,2019,6,23,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-06-16,Alabama,123782285.8,2019,6,24,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-06-23,Alabama,123782285.8,2019,6,25,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-06-30,Alabama,123782285.8,2019,6,26,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
2019-07-07,Alabama,123782285.8,2019,7,27,6,0,123782285.8,123782285.8,123782285.8,123782285.8,0.0,123782285.8
