State,MAE,RMSE,MAPE(%)
Alabama,17095634.71,20104809.86,8.84
Arizona,15579801.37,17722785.01,7.43
Arkansas,7721326.76,10287073.31,7.55
California,50928694.69,57915562.32,6.2
Colorado,12524676.23,15313304.85,7.54
Connecticut,6392920.84,8688359.95,7.59
Florida,40296801.85,52018188.96,5.23
Georgia,28840032.73,33244855.04,8.04
Illinois,19189622.26,20880789.7,6.19
Indiana,11845920.95,15389669.3,5.76
Iowa,7452515.59,9026732.97,6.83
Kansas,5098269.19,6627245.56,6.07
Kentucky,10225641.67,12557670.84,6.32
Louisiana,14811514.99,16545551.84,8.5
Maine,6616658.16,6724111.17,14.59
Maryland,7714483.21,9662063.1,4.94
Massachusetts,12124613.89,15502164.84,6.9
Michigan,15892927.63,19796803.12,5.83
Minnesota,12037218.73,13185376.06,8.12
Mississippi,22049242.73,23963721.99,18.74
Missouri,13222892.09,16773960.53,7.28
Nebraska,9666714.74,10576381.25,16.43
Nevada,7762420.55,9369492.0,8.1
New Hampshire,4800856.78,5362685.61,9.0
New Mexico,6277656.26,7873034.21,9.39
New York,29425215.73,36674809.17,7.09
North Carolina,27894970.11,35044305.75,8.39
Ohio,25090113.49,30480503.32,7.21
Oklahoma,7354879.9,10567474.37,5.33
Oregon,10807086.95,12321555.08,9.95
Pennsylvania,19657865.07,25493965.06,5.73
Rhode Island,2680321.05,3041689.05,10.55
South Carolina,16927544.97,21231927.91,9.3
South Dakota,3654201.72,3794049.48,13.42
Tennessee,18316301.03,23660075.15,7.55
Texas,71333543.83,87515223.59,8.45
Utah,7172370.57,8562376.46,9.28
Vermont,1871170.29,1913022.37,10.44
Virginia,18839447.72,24252019.69,6.93
Washington,12014456.38,14175744.51,6.69
West Virginia,4112094.23,5539639.71,5.75
Wisconsin,10366202.57,11916625.03,6.98
Wyoming,3219988.75,3308905.96,15.62
