State,MAE,RMSE,MAPE(%),Order
Alabama,6248655.82,6703776.97,3.16,"((1, 1, 1), (1, 1, 1))"
Arizona,8331258.25,8858463.39,3.95,"((0, 0, 0), (0, 1, 0))"
Arkansas,4009620.82,4503247.23,3.78,"((0, 0, 0), (0, 1, 0))"
California,27511015.68,31488963.67,3.24,"((0, 0, 0), (0, 1, 0))"
Colorado,5606180.82,6361987.29,3.17,"((0, 0, 0), (0, 1, 0))"
Connecticut,3121931.46,3634836.29,3.53,"((1, 1, 1), (0, 1, 1))"
Florida,33836909.04,40321095.66,4.52,"((1, 1, 1), (1, 1, 1))"
Georgia,13797096.18,15907215.95,3.8,"((0, 0, 0), (1, 1, 0))"
Illinois,10143203.9,14347533.22,3.06,"((1, 0, 1), (0, 1, 0))"
Indiana,5716030.38,8012987.4,2.55,"((1, 1, 1), (1, 1, 1))"
Iowa,2316651.3,2476443.06,2.05,"((1, 1, 1), (1, 1, 1))"
Kansas,3257642.68,3896932.52,3.83,"((0, 0, 0), (0, 1, 0))"
Kentucky,5789427.0,5995174.75,3.42,"((1, 1, 1), (1, 1, 1))"
Louisiana,9100803.92,11124432.07,4.92,"((0, 0, 0), (0, 1, 1))"
Maine,1418405.25,1541416.48,3.11,"((1, 1, 1), (1, 1, 1))"
Maryland,6814999.96,8748694.49,4.17,"((0, 0, 1), (0, 1, 1))"
Massachusetts,5937990.15,10178974.77,3.06,"((0, 0, 0), (0, 1, 0))"
Michigan,9444777.73,13404921.16,3.18,"((1, 1, 1), (1, 1, 1))"
Minnesota,3771661.18,4383427.09,2.52,"((1, 1, 1), (1, 1, 0))"
Mississippi,4193682.85,4447565.84,3.55,"((0, 0, 0), (1, 1, 0))"
Missouri,5666931.84,6411489.53,3.04,"((1, 1, 1), (1, 1, 1))"
Nebraska,2533481.34,2632026.04,4.22,"((0, 0, 0), (1, 1, 1))"
Nevada,2359270.62,2742626.0,2.44,"((0, 0, 0), (0, 1, 0))"
New Hampshire,1616714.38,2202805.37,2.82,"((1, 1, 1), (1, 1, 1))"
New Mexico,3057593.5,3364698.18,4.33,"((0, 0, 0), (0, 1, 1))"
New York,11317999.86,18026529.66,2.51,"((0, 0, 1), (0, 1, 0))"
North Carolina,18139677.7,19021436.65,5.28,"((0, 0, 0), (0, 1, 1))"
Ohio,13693405.08,15648067.99,3.86,"((1, 0, 1), (0, 1, 0))"
Oklahoma,4080972.67,4656014.04,2.8,"((1, 1, 1), (1, 1, 1))"
Oregon,2093029.39,2972785.95,1.86,"((1, 1, 1), (1, 1, 1))"
Pennsylvania,11523449.35,14304668.79,3.17,"((0, 1, 0), (0, 1, 0))"
Rhode Island,658115.88,992516.34,2.64,"((1, 1, 1), (0, 1, 1))"
South Carolina,7190725.07,7360370.61,3.83,"((1, 1, 1), (1, 1, 1))"
South Dakota,817013.8,1154671.89,3.1,"((0, 0, 0), (1, 1, 0))"
Tennessee,6246491.4,6759405.29,2.44,"((1, 1, 1), (1, 1, 1))"
Texas,36111064.87,40284440.57,4.14,"((1, 1, 1), (1, 1, 1))"
Utah,1679727.04,1925930.79,2.02,"((1, 1, 1), (1, 1, 1))"
Vermont,69880.69,81297.81,0.38,"((0, 0, 1), (1, 0, 0))"
Virginia,9376383.95,10059482.67,3.25,"((1, 1, 1), (1, 1, 1))"
Washington,1777671.47,2281750.34,0.97,"((1, 1, 1), (1, 1, 0))"
West Virginia,1658809.28,2056910.85,2.25,"((0, 0, 0), (1, 0, 0))"
Wisconsin,2059151.99,2745287.52,1.29,"((1, 1, 1), (1, 1, 0))"
Wyoming,344725.64,430306.38,1.69,"((0, 0, 0), (1, 1, 1))"
